id,predicted_price
2591820310,372648.28
7974200820,881892.0
7701450110,1107492.8
9522300010,1813369.8
9510861140,740008.0
1761300310,238917.27
7732410120,800279.2
7010701383,597141.75
291310170,436844.22
4232901990,523215.38
6840701125,686926.7
3971700580,430568.56
4202400078,252640.28
6064800090,378163.06
2626119028,245271.42
3303980660,1091272.5
862000020,783646.4
2386000070,981222.5
1138000450,362560.4
1775800420,468840.3
2291401425,444762.38
2025770560,920395.8
3525069037,689003.9
9324800450,550019.3
8080400136,535223.75
8651540040,511209.62
9407001790,249883.2
1773101530,213716.52
9432900250,350811.2
1794500695,609410.8
2220069003,352783.94
923000120,533814.3
5728000060,540051.6
16000200,259288.17
1926059094,438932.25
6672900220,989195.6
3629860060,855930.4
1822069109,449095.34
6675500105,372407.75
249000180,1930454.6
226059065,485321.25
396100110,271728.1
9264450460,329287.97
7853361210,391426.97
9474700020,294847.6
421000455,266419.0
3755200220,411345.72
7960100075,497437.2
9477100490,431221.12
9138100350,828863.9
1624049275,427869.0
2770606890,491374.7
1157200189,390753.0
2770601800,512819.53
9301300805,567735.94
2325069032,1251992.9
1021079099,346741.66
7215730040,753598.7
1853200080,430463.44
3224600340,690586.0
3222049120,450445.2
2113700025,322787.16
7893207925,220964.81
3586501085,577765.4
8024200010,353026.94
7116500705,190078.58
1598600209,319459.5
7204200025,707141.5
4206901505,597467.0
2937300440,881621.25
7205000180,356020.12
8718500665,366290.56
5318101765,872471.75
4122700020,970930.06
8078700020,550566.7
3303980680,938741.44
8924100372,1244509.9
2781270210,220748.5
519000043,539362.44
3225069301,1402227.1
151000075,729744.5
2297400020,427746.2
6617500085,727009.7
104510180,247415.62
3528900060,993753.1
3345100286,520564.53
1226039130,428897.7
8712100720,778436.06
3037200010,422107.72
3626039268,443657.97
104510230,254057.33
5112800060,391755.25
6072400280,598852.6
5317100570,1010201.8
9528102993,546251.94
2919201095,544086.5
6181400920,264676.7
185000161,252132.4
8691400010,747771.94
